,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
30,Camisetas Filmes,Homens 18-24,Imagem 2,3098,223,80.5,7.2,0.36,141,0.57,6769.62,84.09,2025-04-06,Domingo,Homens,18-24
31,Blusas Inverno,Homens 18-24,Imagem 2,1235,59,1076.37,4.78,18.24,3,358.79,143.68,0.13,2025-04-06,Domingo,Homens,18-24
32,Camisetas Filmes,Mulheres 18-24,Imagem 1,11827,195,795.53,1.65,4.08,71,11.2,6524.74,8.2,2025-04-20,Domingo,Mulheres,18-24
33,Camisetas Filmes,Homens 24-30,Imagem 2,18669,320,1098.86,1.71,3.43,292,3.76,24125.38,21.95,2025-04-23,Quarta-feira,Homens,24-30
34,Camisetas Filmes,Mulheres 24-30,Imagem 2,16498,883,326.09,5.35,0.37,99,3.29,8998.93,27.6,2025-04-17,Quinta-feira,Mulheres,24-30
35,Blusas Inverno,Homens 18-24,Imagem 3,14879,891,727.19,5.99,0.82,746,0.97,22691.17,31.2,2025-04-12,Sábado,Homens,18-24
36,Camisetas Filmes,Homens 24-30,Video 1,2986,153,1105.91,5.12,7.23,27,40.96,1346.37,1.22,2025-04-24,Quinta-feira,Homens,24-30
37,Blusas Inverno,Homens 24-30,Imagem 2,18573,968,253.26,5.21,0.26,187,1.35,9883.79,39.03,2025-03-30,Domingo,Homens,24-30
38,Blusas Inverno,Homens 18-24,Imagem 2,3470,276,1221.63,7.95,4.43,50,24.43,1502.94,1.23,2025-04-04,Sexta-feira,Homens,18-24
39,Camisetas Filmes,Homens 18-24,Imagem 1,4056,171,291.15,4.22,1.7,124,2.35,9068.84,31.15,2025-04-12,Sábado,Homens,18-24
40,Blusas Inverno,Mulheres 18-24,Video 3,2921,92,599.51,3.15,6.52,49,12.23,2524.49,4.21,2025-04-04,Sexta-feira,Mulheres,18-24
41,Camisetas Filmes,Homens 18-24,Carrossel 2,10347,483,1060.06,4.67,2.19,374,2.83,46578.81,43.94,2025-04-06,Domingo,Homens,18-24
42,Camisetas Filmes,Homens 18-24,Carrossel 2,6072,244,480.23,4.02,1.97,14,34.3,1160.85,2.42,2025-04-12,Sábado,Homens,18-24
43,Blusas Inverno,Mulheres 18-24,Imagem 1,11276,167,122.71,1.48,0.73,122,1.01,9184.77,74.85,2025-03-30,Domingo,Mulheres,18-24
44,Blusas Inverno,Mulheres 18-24,Carrossel 1,2863,180,166.16,6.29,0.92,47,3.54,1497.05,9.01,2025-04-14,Segunda-feira,Mulheres,18-24
45,Camisetas Filmes,Homens 24-30,Video 1,8707,463,223.84,5.32,0.48,455,0.49,37295.23,166.62,2025-04-27,Domingo,Homens,24-30
46,Blusas Inverno,Mulheres 18-24,Imagem 1,3686,264,1003.19,7.16,3.8,161,6.23,19073.77,19.01,2025-04-28,Segunda-feira,Mulheres,18-24
47,Blusas Inverno,Mulheres 18-24,Imagem 2,11295,538,435.14,4.76,0.81,134,3.25,12350.65,28.38,2025-04-12,Sábado,Mulheres,18-24
48,Camisetas Series,Mulheres 18-24,Video 2,15982,697,1397.08,4.36,2.0,74,18.88,1918.93,1.37,2025-04-16,Quarta-feira,Mulheres,18-24
49,Camisetas Filmes,Homens 18-24,Video 1,3400,325,359.07,9.56,1.1,135,2.66,5163.16,14.38,2025-04-05,Sábado,Homens,18-24
50,Camisetas Filmes,Mulheres 18-24,Imagem 3,3254,175,585.81,5.38,3.35,40,14.65,2752.74,4.7,2025-04-13,Domingo,Mulheres,18-24
51,Camisetas Filmes,Mulheres 18-24,Video 2,18332,66,1018.4,0.36,15.43,38,26.8,4490.67,4.41,2025-04-25,Sexta-feira,Mulheres,18-24
52,Acessorios,Homens 18-24,Video 1,5400,185,217.37,3.43,1.17,27,8.05,2679.53,12.33,2025-04-12,Sábado,Homens,18-24
53,Camisetas Series,Homens 24-30,Carrossel 1,9924,338,927.0,3.41,2.74,175,5.3,7937.95,8.56,2025-04-14,Segunda-feira,Homens,24-30
54,Camisetas Filmes,Homens 18-24,Video 2,17561,1050,414.13,5.98,0.39,104,3.98,3559.9,8.6,2025-04-15,Terça-feira,Homens,18-24
55,Camisetas Filmes,Homens 18-24,Video 3,10066,95,55.14,0.94,0.58,16,3.45,1419.38,25.74,2025-04-03,Quinta-feira,Homens,18-24
56,Acessorios,Homens 24-30,Video 2,6294,502,849.94,7.98,1.69,218,3.9,17677.77,20.8,2025-04-02,Quarta-feira,Homens,24-30
57,Camisetas Series,Mulheres 24-30,Video 1,3465,126,841.11,3.64,6.68,106,7.94,6563.69,7.8,2025-04-12,Sábado,Mulheres,24-30
58,Blusas Inverno,Homens 18-24,Carrossel 1,15083,311,110.65,2.06,0.36,186,0.59,21371.06,193.14,2025-04-22,Terça-feira,Homens,18-24
59,Blusas Inverno,Mulheres 18-24,Imagem 1,12724,480,1039.0,3.77,2.16,341,3.05,12030.26,11.58,2025-04-09,Quarta-feira,Mulheres,18-24
60,Blusas Inverno,Mulheres 24-30,Video 3,6064,292,1303.68,4.82,4.46,90,14.49,10182.75,7.81,2025-04-14,Segunda-feira,Mulheres,24-30
61,Camisetas Filmes,Homens 18-24,Imagem 1,6877,390,1184.46,5.67,3.04,210,5.64,22096.94,18.66,2025-04-15,Terça-feira,Homens,18-24
62,Camisetas Filmes,Mulheres 18-24,Imagem 2,9742,213,1191.69,2.19,5.59,27,44.14,1707.86,1.43,2025-04-03,Quinta-feira,Mulheres,18-24
63,Blusas Inverno,Mulheres 24-30,Imagem 1,16423,505,339.38,3.07,0.67,470,0.72,33384.25,98.37,2025-04-01,Terça-feira,Mulheres,24-30
64,Camisetas Filmes,Mulheres 18-24,Video 2,8457,278,84.31,3.29,0.3,98,0.86,6354.97,75.38,2025-04-03,Quinta-feira,Mulheres,18-24
65,Camisetas Series,Homens 18-24,Video 2,3274,192,559.16,5.86,2.91,130,4.3,8445.82,15.1,2025-04-28,Segunda-feira,Homens,18-24
66,Camisetas Filmes,Homens 18-24,Imagem 3,1904,79,1321.71,4.15,16.73,33,40.05,1414.27,1.07,2025-04-22,Terça-feira,Homens,18-24
67,Acessorios,Homens 18-24,Video 2,2253,77,915.03,3.42,11.88,44,20.8,4305.6,4.71,2025-04-27,Domingo,Homens,18-24
68,Camisetas Series,Homens 24-30,Imagem 3,15299,1291,1477.14,8.44,1.14,236,6.26,14990.61,10.15,2025-04-24,Quinta-feira,Homens,24-30
69,Camisetas Filmes,Mulheres 24-30,Imagem 2,9346,95,1077.74,1.02,11.34,0,0.0,0.0,0.0,2025-04-01,Terça-feira,Mulheres,24-30
70,Acessorios,Homens 18-24,Imagem 2,12934,933,151.46,7.21,0.16,680,0.22,79612.42,525.63,2025-04-20,Domingo,Homens,18-24
71,Camisetas Series,Homens 18-24,Imagem 3,5083,418,1355.07,8.22,3.24,259,5.23,14485.47,10.69,2025-04-22,Terça-feira,Homens,18-24
72,Camisetas Filmes,Homens 18-24,Video 3,11688,874,1060.95,7.48,1.21,567,1.87,21392.22,20.16,2025-04-03,Quinta-feira,Homens,18-24
73,Camisetas Series,Mulheres 18-24,Video 3,13423,406,942.5,3.02,2.32,154,6.12,10103.56,10.72,2025-04-20,Domingo,Mulheres,18-24
74,Camisetas Filmes,Homens 18-24,Imagem 1,10957,637,354.76,5.81,0.56,593,0.6,50800.03,143.2,2025-03-31,Segunda-feira,Homens,18-24
75,Acessorios,Homens 18-24,Imagem 3,16236,954,691.13,5.88,0.72,218,3.17,16593.59,24.01,2025-04-20,Domingo,Homens,18-24
76,Camisetas Filmes,Mulheres 18-24,Carrossel 1,3778,195,797.41,5.16,4.09,162,4.92,14082.03,17.66,2025-03-31,Segunda-feira,Mulheres,18-24
77,Acessorios,Homens 18-24,Video 1,8696,738,500.11,8.49,0.68,203,2.46,8066.29,16.13,2025-04-03,Quinta-feira,Homens,18-24
78,Camisetas Series,Homens 24-30,Imagem 1,9023,536,936.35,5.94,1.75,74,12.65,5220.08,5.57,2025-04-06,Domingo,Homens,24-30
79,Camisetas Filmes,Homens 24-30,Imagem 2,13582,1062,629.5,7.82,0.59,302,2.08,27362.95,43.47,2025-04-09,Quarta-feira,Homens,24-30
80,Camisetas Filmes,Mulheres 18-24,Imagem 1,4492,448,666.46,9.97,1.49,90,7.41,9486.99,14.23,2025-04-09,Quarta-feira,Mulheres,18-24
81,Camisetas Series,Mulheres 18-24,Carrossel 2,2645,192,411.34,7.26,2.14,31,13.27,2190.03,5.32,2025-04-21,Segunda-feira,Mulheres,18-24
82,Camisetas Filmes,Homens 24-30,Carrossel 2,18404,1194,913.41,6.49,0.77,906,1.01,78156.3,85.57,2025-04-20,Domingo,Homens,24-30
83,Camisetas Filmes,Homens 18-24,Video 3,18952,963,1350.95,5.08,1.4,761,1.78,84584.76,62.61,2025-04-10,Quinta-feira,Homens,18-24
84,Camisetas Filmes,Mulheres 18-24,Carrossel 2,9493,819,408.5,8.63,0.5,652,0.63,34380.7,84.16,2025-04-28,Segunda-feira,Mulheres,18-24
85,Camisetas Series,Homens 18-24,Carrossel 2,8839,331,687.82,3.74,2.08,146,4.71,7073.61,10.28,2025-04-22,Terça-feira,Homens,18-24
86,Camisetas Series,Homens 18-24,Imagem 3,11476,215,250.64,1.87,1.17,59,4.25,3734.91,14.9,2025-04-03,Quinta-feira,Homens,18-24
87,Camisetas Series,Homens 18-24,Carrossel 1,8010,115,651.56,1.44,5.67,42,15.51,3328.97,5.11,2025-04-28,Segunda-feira,Homens,18-24
88,Camisetas Series,Homens 18-24,Video 3,3040,102,1257.69,3.36,12.33,49,25.67,5658.71,4.5,2025-04-20,Domingo,Homens,18-24
89,Acessorios,Homens 18-24,Imagem 1,19864,829,741.62,4.17,0.89,360,2.06,19750.06,26.63,2025-04-08,Terça-feira,Homens,18-24
90,Camisetas Filmes,Homens 18-24,Video 3,14730,1152,1133.9,7.82,0.98,1118,1.01,117375.26,103.51,2025-03-31,Segunda-feira,Homens,18-24
91,Acessorios,Mulheres 24-30,Imagem 2,16998,499,445.76,2.94,0.89,248,1.8,6919.82,15.52,2025-04-25,Sexta-feira,Mulheres,24-30
92,Camisetas Filmes,Mulheres 18-24,Imagem 3,14248,388,1268.73,2.72,3.27,65,19.52,7999.69,6.31,2025-04-21,Segunda-feira,Mulheres,18-24
93,Blusas Inverno,Mulheres 18-24,Imagem 1,13911,1262,868.37,9.07,0.69,55,15.79,1836.71,2.12,2025-04-01,Terça-feira,Mulheres,18-24
94,Camisetas Series,Homens 18-24,Video 3,5446,493,719.46,9.05,1.46,25,28.78,1275.39,1.77,2025-04-21,Segunda-feira,Homens,18-24
95,Camisetas Filmes,Mulheres 24-30,Imagem 3,7935,515,523.93,6.49,1.02,388,1.35,20496.36,39.12,2025-04-23,Quarta-feira,Mulheres,24-30
96,Acessorios,Mulheres 18-24,Video 3,9266,904,168.76,9.76,0.19,19,8.88,1898.15,11.25,2025-03-30,Domingo,Mulheres,18-24
97,Camisetas Filmes,Homens 18-24,Imagem 1,12467,509,992.71,4.08,1.95,399,2.49,48170.7,48.52,2025-04-04,Sexta-feira,Homens,18-24
98,Blusas Inverno,Mulheres 24-30,Imagem 1,2016,113,339.07,5.61,3.0,2,169.53,174.27,0.51,2025-04-05,Sábado,Mulheres,24-30
99,Blusas Inverno,Homens 24-30,Imagem 2,5136,292,1020.72,5.69,3.5,288,3.54,34495.4,33.8,2025-04-16,Quarta-feira,Homens,24-30
100,Camisetas Series,Homens 18-24,Carrossel 2,9396,835,584.9,8.89,0.7,620,0.94,53149.34,90.87,2025-04-28,Segunda-feira,Homens,18-24
101,Camisetas Filmes,Mulheres 24-30,Video 1,6366,368,206.74,5.78,0.56,13,15.9,1532.55,7.41,2025-04-04,Sexta-feira,Mulheres,24-30
102,Camisetas Series,Homens 18-24,Video 3,13997,456,160.19,3.26,0.35,353,0.45,38144.18,238.12,2025-04-03,Quinta-feira,Homens,18-24
103,Camisetas Filmes,Mulheres 18-24,Imagem 2,4339,406,1170.1,9.36,2.88,350,3.34,29764.41,25.44,2025-04-28,Segunda-feira,Mulheres,18-24
104,Camisetas Filmes,Homens 18-24,Video 1,19544,1652,109.55,8.45,0.07,1091,0.1,74011.04,675.59,2025-04-10,Quinta-feira,Homens,18-24
105,Camisetas Series,Mulheres 18-24,Imagem 3,3259,309,988.94,9.48,3.2,6,164.82,659.75,0.67,2025-04-01,Terça-feira,Mulheres,18-24
106,Camisetas Series,Homens 18-24,Carrossel 2,4458,271,1443.14,6.08,5.33,235,6.14,22496.75,15.59,2025-03-30,Domingo,Homens,18-24
107,Blusas Inverno,Homens 18-24,Video 3,6771,584,1449.94,8.63,2.48,276,5.25,23899.18,16.48,2025-04-14,Segunda-feira,Homens,18-24
108,Camisetas Filmes,Homens 24-30,Carrossel 2,16232,942,1247.32,5.8,1.32,606,2.06,31414.77,25.19,2025-04-09,Quarta-feira,Homens,24-30
109,Camisetas Series,Homens 24-30,Imagem 2,3839,192,1328.37,5.0,6.92,62,21.43,6202.95,4.67,2025-04-15,Terça-feira,Homens,24-30
110,Camisetas Series,Mulheres 18-24,Video 3,12023,108,766.74,0.9,7.1,41,18.7,1770.54,2.31,2025-04-27,Domingo,Mulheres,18-24
111,Camisetas Filmes,Homens 18-24,Imagem 2,12626,579,543.49,4.59,0.94,282,1.93,22723.31,41.81,2025-04-21,Segunda-feira,Homens,18-24
112,Camisetas Filmes,Homens 18-24,Imagem 2,3805,173,1094.11,4.55,6.32,125,8.75,10064.7,9.2,2025-04-07,Segunda-feira,Homens,18-24
113,Acessorios,Homens 18-24,Imagem 2,16600,1372,1082.17,8.27,0.79,917,1.18,95636.94,88.38,2025-04-13,Domingo,Homens,18-24
114,Blusas Inverno,Mulheres 18-24,Video 1,10641,276,636.38,2.59,2.31,124,5.13,6896.95,10.84,2025-04-12,Sábado,Mulheres,18-24
115,Blusas Inverno,Mulheres 18-24,Imagem 3,16507,1183,819.84,7.17,0.69,871,0.94,108581.6,132.44,2025-04-10,Quinta-feira,Mulheres,18-24
116,Camisetas Series,Mulheres 18-24,Imagem 3,12528,979,442.83,7.81,0.45,257,1.72,12349.83,27.89,2025-04-04,Sexta-feira,Mulheres,18-24
117,Camisetas Filmes,Homens 24-30,Imagem 2,11339,294,1127.18,2.59,3.83,94,11.99,4150.49,3.68,2025-04-25,Sexta-feira,Homens,24-30
118,Camisetas Filmes,Homens 18-24,Carrossel 2,10060,791,904.9,7.86,1.14,778,1.16,60266.75,66.6,2025-03-30,Domingo,Homens,18-24
119,Camisetas Series,Homens 18-24,Video 2,4294,149,479.56,3.47,3.22,92,5.21,3950.86,8.24,2025-04-14,Segunda-feira,Homens,18-24
120,Acessorios,Mulheres 24-30,Imagem 1,18502,309,447.75,1.67,1.45,27,16.58,2169.07,4.84,2025-04-11,Sexta-feira,Mulheres,24-30
121,Acessorios,Homens 18-24,Carrossel 1,17085,260,1315.44,1.52,5.06,145,9.07,10431.26,7.93,2025-04-20,Domingo,Homens,18-24
122,Camisetas Filmes,Mulheres 24-30,Carrossel 2,12164,427,1449.97,3.51,3.4,129,11.24,15364.72,10.6,2025-04-16,Quarta-feira,Mulheres,24-30
123,Camisetas Series,Mulheres 24-30,Carrossel 2,4738,470,144.75,9.92,0.31,251,0.58,8134.46,56.2,2025-04-15,Terça-feira,Mulheres,24-30
124,Acessorios,Mulheres 24-30,Imagem 1,5971,202,1226.16,3.38,6.07,77,15.92,2580.89,2.1,2025-04-25,Sexta-feira,Mulheres,24-30
125,Camisetas Filmes,Homens 18-24,Imagem 2,4881,335,1158.44,6.86,3.46,310,3.74,26229.93,22.64,2025-04-08,Terça-feira,Homens,18-24
126,Blusas Inverno,Homens 18-24,Imagem 2,18123,829,703.25,4.57,0.85,453,1.55,24795.1,35.26,2025-03-30,Domingo,Homens,18-24
127,Camisetas Filmes,Mulheres 18-24,Video 3,11006,173,933.96,1.57,5.4,25,37.36,2993.98,3.21,2025-03-30,Domingo,Mulheres,18-24
128,Acessorios,Mulheres 18-24,Imagem 2,7914,320,1007.62,4.04,3.15,80,12.6,3918.92,3.89,2025-04-04,Sexta-feira,Mulheres,18-24
129,Camisetas Series,Homens 18-24,Video 1,6129,52,642.35,0.85,12.35,44,14.6,3712.77,5.78,2025-04-20,Domingo,Homens,18-24
130,Camisetas Series,Mulheres 24-30,Video 2,2069,109,467.75,5.27,4.29,36,12.99,3430.76,7.33,2025-04-10,Quinta-feira,Mulheres,24-30
131,Camisetas Filmes,Mulheres 18-24,Carrossel 2,3332,169,1389.67,5.07,8.22,160,8.69,13436.63,9.67,2025-04-03,Quinta-feira,Mulheres,18-24
132,Blusas Inverno,Homens 24-30,Imagem 2,14930,285,839.62,1.91,2.95,76,11.05,8803.93,10.49,2025-04-28,Segunda-feira,Homens,24-30
133,Camisetas Series,Homens 24-30,Carrossel 1,3339,80,290.59,2.4,3.63,39,7.45,3295.67,11.34,2025-04-15,Terça-feira,Homens,24-30
134,Camisetas Filmes,Homens 18-24,Video 2,15390,304,729.61,1.98,2.4,155,4.71,14720.87,20.18,2025-04-22,Terça-feira,Homens,18-24
135,Blusas Inverno,Homens 24-30,Video 2,17399,1155,766.0,6.64,0.66,164,4.67,13907.8,18.16,2025-04-19,Sábado,Homens,24-30
136,Blusas Inverno,Mulheres 24-30,Video 3,11561,562,87.5,4.86,0.16,234,0.37,28358.72,324.1,2025-04-19,Sábado,Mulheres,24-30
137,Camisetas Series,Mulheres 18-24,Imagem 1,9831,640,108.34,6.51,0.17,179,0.61,12896.96,119.04,2025-04-16,Quarta-feira,Mulheres,18-24
138,Blusas Inverno,Mulheres 18-24,Carrossel 2,10114,235,1495.57,2.32,6.36,111,13.47,9821.11,6.57,2025-04-15,Terça-feira,Mulheres,18-24
139,Blusas Inverno,Homens 24-30,Carrossel 2,3989,290,554.54,7.27,1.91,170,3.26,9707.99,17.51,2025-04-11,Sexta-feira,Homens,24-30
140,Blusas Inverno,Homens 18-24,Video 1,6269,387,646.89,6.17,1.67,253,2.56,13616.91,21.05,2025-04-04,Sexta-feira,Homens,18-24
141,Camisetas Filmes,Homens 18-24,Video 3,19025,125,709.5,0.66,5.68,40,17.74,2009.6,2.83,2025-04-20,Domingo,Homens,18-24
142,Camisetas Series,Homens 18-24,Video 1,14244,1103,1246.14,7.74,1.13,2,623.07,181.53,0.15,2025-04-04,Sexta-feira,Homens,18-24
143,Camisetas Series,Mulheres 18-24,Carrossel 2,14541,161,321.99,1.11,2.0,92,3.5,8028.23,24.93,2025-04-25,Sexta-feira,Mulheres,18-24
144,Camisetas Filmes,Mulheres 18-24,Carrossel 2,15484,155,345.16,1.0,2.23,140,2.47,5334.19,15.45,2025-04-01,Terça-feira,Mulheres,18-24
145,Camisetas Filmes,Homens 18-24,Video 2,15356,1480,752.83,9.64,0.51,59,12.76,7216.57,9.59,2025-04-02,Quarta-feira,Homens,18-24
146,Blusas Inverno,Homens 18-24,Imagem 2,6189,368,848.72,5.95,2.31,282,3.01,18555.34,21.86,2025-04-19,Sábado,Homens,18-24
147,Camisetas Filmes,Mulheres 18-24,Imagem 2,4717,286,1423.24,6.06,4.98,78,18.25,5837.33,4.1,2025-04-12,Sábado,Mulheres,18-24
148,Blusas Inverno,Homens 18-24,Video 2,17674,1494,446.47,8.45,0.3,988,0.45,121548.17,272.24,2025-04-09,Quarta-feira,Homens,18-24
149,Camisetas Series,Homens 18-24,Imagem 2,15967,1178,259.73,7.38,0.22,390,0.67,45702.86,175.96,2025-04-21,Segunda-feira,Homens,18-24
150,Camisetas Filmes,Mulheres 18-24,Carrossel 1,3287,191,1170.38,5.81,6.13,106,11.04,6252.68,5.34,2025-04-22,Terça-feira,Mulheres,18-24
151,Camisetas Series,Mulheres 18-24,Video 2,1084,68,1102.77,6.27,16.22,62,17.79,6914.62,6.27,2025-04-15,Terça-feira,Mulheres,18-24
152,Blusas Inverno,Mulheres 24-30,Carrossel 2,18648,1041,550.43,5.58,0.53,772,0.71,54452.6,98.93,2025-03-31,Segunda-feira,Mulheres,24-30
153,Camisetas Series,Homens 18-24,Imagem 3,7181,294,879.11,4.09,2.99,119,7.39,13161.55,14.97,2025-04-19,Sábado,Homens,18-24
154,Blusas Inverno,Homens 18-24,Video 3,2430,131,1129.82,5.39,8.62,97,11.65,6169.96,5.46,2025-04-25,Sexta-feira,Homens,18-24
155,Camisetas Series,Homens 18-24,Carrossel 1,17230,125,233.06,0.73,1.86,123,1.89,10334.22,44.34,2025-04-12,Sábado,Homens,18-24
156,Camisetas Filmes,Mulheres 24-30,Video 1,15427,254,812.63,1.65,3.2,116,7.01,3078.03,3.79,2025-04-07,Segunda-feira,Mulheres,24-30
157,Blusas Inverno,Mulheres 18-24,Carrossel 1,14434,1390,1456.44,9.63,1.05,153,9.52,11008.21,7.56,2025-03-30,Domingo,Mulheres,18-24
158,Camisetas Series,Homens 18-24,Video 2,12093,864,992.26,7.14,1.15,336,2.95,37038.67,37.33,2025-04-08,Terça-feira,Homens,18-24
159,Camisetas Filmes,Homens 18-24,Video 3,11376,1049,1314.96,9.22,1.25,73,18.01,6332.45,4.82,2025-04-17,Quinta-feira,Homens,18-24
160,Camisetas Series,Homens 24-30,Imagem 2,10416,282,1132.81,2.71,4.02,222,5.1,27269.1,24.07,2025-04-01,Terça-feira,Homens,24-30
161,Camisetas Series,Homens 18-24,Video 1,15538,390,1056.3,2.51,2.71,14,75.45,414.39,0.39,2025-04-10,Quinta-feira,Homens,18-24
162,Acessorios,Homens 24-30,Imagem 1,10613,417,593.52,3.93,1.42,74,8.02,3657.06,6.16,2025-04-03,Quinta-feira,Homens,24-30
163,Camisetas Series,Mulheres 18-24,Video 3,19544,1446,1199.15,7.4,0.83,348,3.45,14792.41,12.34,2025-04-20,Domingo,Mulheres,18-24
164,Camisetas Series,Homens 18-24,Video 3,8891,559,1373.6,6.29,2.46,146,9.41,7039.95,5.13,2025-04-13,Domingo,Homens,18-24
165,Camisetas Filmes,Homens 24-30,Video 2,16059,572,1016.92,3.56,1.78,476,2.14,54797.57,53.89,2025-04-13,Domingo,Homens,24-30
166,Camisetas Filmes,Homens 18-24,Carrossel 1,3420,276,1420.59,8.07,5.15,153,9.28,13600.76,9.57,2025-04-22,Terça-feira,Homens,18-24
167,Camisetas Filmes,Homens 18-24,Video 3,9195,517,1275.69,5.62,2.47,203,6.28,25362.28,19.88,2025-04-19,Sábado,Homens,18-24
168,Blusas Inverno,Homens 24-30,Carrossel 2,4494,171,602.98,3.81,3.53,91,6.63,7505.79,12.45,2025-04-20,Domingo,Homens,24-30
169,Camisetas Series,Homens 18-24,Video 2,1718,156,1004.43,9.08,6.44,70,14.35,1806.69,1.8,2025-04-11,Sexta-feira,Homens,18-24
